File Location,Filename,YARA Rule Hit,First 50 Bytes
E:Users\John\Documents,File159,DOSexec.yar,4d5a8b000300000020000000ffff070000016540000000004000000001000000000000000000000000000000000000000000
E:Users\John\Documents,File200,DOSexec.yar,4d5a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd59b36449921e887daa6a76
E:Users\John\Documents,File167,GNU_Info.yar,54686973206973206672656520616e6420756e656e63756d626572656420736f6674776172652072656c656173656420696e
E:Users\John\Documents,File136,HEIC.yar,0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd5bb32449921e887daa66ee1e71
E:Users\John\Documents,File038,ISO.yar,43443030312e360a25f6e4fcdf0a312030206f626a0a3c3c0a2f4d657461646174612032203020520a2f4c616e672028656e
E:Users\John\Documents,File004,NONE_Batch.yar,406563686f206f66660d0a736574202f61206c696e653d2572616e646f6d252025252035202b20310d0a666f72202f662022
E:Users\John\Documents,File015,NONE_Batch.yar,406563686f206f66660d0a736574202f6120636f756e743d2572616e646f6d25202525203230202b20310d0a6563686f2047
E:Users\John\Documents,File016,NONE_Batch.yar,406563686f206f66660d0a736574202f61206865783d2572616e646f6d25202525203235350d0a736574202f612068657832
E:Users\John\Documents,File028,NONE_Batch.yar,406563686f206f66660d0a736574202f6120646965313d2572616e646f6d252025252036202b20310d0a736574202f612064
E:Users\John\Documents,File029,NONE_Batch.yar,406563686f206f66660d0a666f72202f662022746f6b656e733d312d342064656c696d733d2f20222025256120696e202822
E:Users\John\Documents,File034,NONE_Batch.yar,406563686f206f66660d0a736574202f61206e756d3d2572616e646f6d252025252031303030300d0a6563686f20596f7572
E:Users\John\Documents,File040,NONE_Batch.yar,406563686f206f66660d0a73657420696e7075743d68656c6c6f0d0a7365742072657665727365643d0d0a666f72202f6c20
E:Users\John\Documents,File044,NONE_Batch.yar,406563686f206f66660d0a7365746c6f63616c20656e61626c6564656c61796564657870616e73696f6e0d0a73657420776f
E:Users\John\Documents,File050,NONE_Batch.yar,406563686f206f66660d0a736574202f6120636f6c6f723d2572616e646f6d252025252031360d0a636f6c6f722025636f6c
E:Users\John\Documents,File061,NONE_Batch.yar,406563686f206f66660d0a736574202f612064656c61793d2572616e646f6d252025252035202b20310d0a74696d656f7574
E:Users\John\Documents,File082,NONE_Batch.yar,406563686f206f66660d0a7365742070617468733d433a5c57696e646f77735c20433a5c55736572735c20433a5c50726f67
E:Users\John\Documents,File083,NONE_Batch.yar,406563686f206f66660d0a736574202f61206e756d3d2572616e646f6d25202525203236202b2036350d0a666f72202f6620
E:Users\John\Documents,File088,NONE_Batch.yar,406563686f206f66660d0a666f72202f6c2025256920696e2028312c312c33322920646f20280d0a20202020736574202f61
E:Users\John\Documents,File112,NONE_Batch.yar,406563686f206f66660d0a6563686f2052616e646f6d20537472696e673a202572616e646f6d250d0a
E:Users\John\Documents,File128,NONE_Batch.yar,406563686f206f66660d0a736574202f6120636f64653d2572616e646f6d25202525203235350d0a6563686f204578697469
E:Users\John\Documents,File139,NONE_Batch.yar,406563686f206f66660d0a7365742073656e74656e6365733d48656c6c6f7c486f772061726520796f753f7c4e6963652077
E:Users\John\Documents,File147,NONE_Batch.yar,406563686f206f66660d0a736574206d6573736167653d4c6f6164696e672072616e646f6d20746578742e2e2e0d0a666f72
E:Users\John\Documents,File174,NONE_Batch.yar,406563686f206f66660d0a736574202f6120613d2572616e646f6d25202525203130300d0a736574202f6120623d2572616e
E:Users\John\Documents,File212,NONE_Batch.yar,406563686f206f66660d0a736574206164766963653d5374617920706f7369746976652e7c54616b6520627265616b732e7c
E:Users\John\Documents,File220,NONE_Batch.yar,406563686f206f66660d0a73657420776f72643d68656c6c6f0d0a73657420736372616d626c65643d0d0a666f72202f6c20
E:Users\John\Documents,File006,PK.yar,504b03040a000000000000002100ffffffff1102000011020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File017,PK.yar,504b03040a000000000000002100ffffffff0d0200000d020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File030,PK.yar,504b03040a000000000000002100ffffffff6402000064020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File035,PK.yar,504b030414000000080000002100610dd4924202000075140000130000005b436f6e74656e745f54797065735d2e786d6ccc
E:Users\John\Documents,File037,PK.yar,504b03040a000000000000002100ffffffff3502000035020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File043,PK.yar,504b03041400020008004a247659fb70553b11530000494e030011001100776f72642f646f63756d656e742e786d6c55540d
E:Users\John\Documents,File056,PK.yar,504b03040a000000000000002100fffffffff3010000f3010000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File074,PK.yar,504b03040a000000000000002100ffffffff2d0200002d020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File076,PK.yar,504b0304140008080800ab0b765900000000000000000000000010000000776f72642f686561646572312e786d6ccd96db8e
E:Users\John\Documents,File122,PK.yar,504b030414000808080048a5755900000000000000000000000012000000776f72642f6e756d626572696e672e786d6ced9b
E:Users\John\Documents,File142,PK.yar,504b03040a00000008000000210003e47bfec703000091130000140000007070742f70726573656e746174696f6e2e786d6c
E:Users\John\Documents,File144,PK.yar,504b03040a000000000000002100ffffffff1c0200001c020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File149,PK.yar,504b0304140008080800ce13765900000000000000000000000010000000776f72642f666f6f746572312e786d6ced57ff6e
E:Users\John\Documents,File150,PK.yar,504b03040a000000000000002100ffffffff2002000020020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File153,PK.yar,504b0304140008080800babb755500000000000000000000000010000000786c2f636f6d6d656e7473312e786d6c8d53cb6e
E:Users\John\Documents,File181,PK.yar,504b0304140000080800423d3c5a479244b25a010000f0040000130004005b436f6e74656e745f54797065735d2e786d6c53
E:Users\John\Documents,File193,PK.yar,504b03040a000000000000002100ffffffff0c0200000c020000100000005b74726173685d2f303030302e646174ffffffff
E:Users\John\Documents,File197,PK.yar,504b0304140008080800d241755900000000000000000000000010000000776f72642f686561646572312e786d6ca595db8e
E:Users\John\Documents,File210,PK.yar,504b03040a000000080000002100fc1fed11250200004305000010000000646f6350726f70732f6170702e786d6c9c54df6f
E:Users\John\Documents,File045,Winexec.yar,ffd8ffe100104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File052,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File053,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File073,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File078,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File079,Winexec.yar,fffb90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File089,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File090,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File097,Winexec.yar,ffd9ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File107,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File113,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File124,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File127,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File133,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File140,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File143,Winexec.yar,ffd8ff0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd599324499226887dcc22
E:Users\John\Documents,File148,Winexec.yar,fffb90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File152,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File163,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File205,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File214,Winexec.yar,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File219,Winexec.yar,ffd8ffe000104558494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f
E:Users\John\Documents,File001,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File005,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File024,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File025,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File027,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File042,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File047,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File051,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File060,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File062,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File071,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File075,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File080,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File081,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File092,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File095,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File101,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File115,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File118,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File141,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File146,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File160,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File164,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File166,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File173,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File176,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File177,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File180,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File201,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File207,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File213,Zone.yar,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File102,cursor.yar,52494646574156452d312e360d25e2e3cfd30d0a35392030206f626a203c3c2f4c696e656172697a656420312f4c20313936
E:Users\John\Documents,File109,cursor.yar,52494646574156452d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e7420
E:Users\John\Documents,File023,mp3.yar,49443300010100000008001000ffff0800000100000000000040000000000000000000000000000000000000000000000000
E:Users\John\Documents,File063,mp3.yar,494433312e340d258084888c9094989ca0a4a8acb0b4b8bcc0c4c8ccd0d4d8dce0e4e8ecf0f4f8fc0d0d312030206f626a0d
E:Users\John\Documents,File091,none_202020_weird.yar,202020202020202020202020444f205748415420544845204655434b20594f552057414e5420544f205055424c4943204c49
E:Users\John\Documents,File099,none_202020_weird.yar,0a22312e20496e7374616c6c20616e6420636f6e66696775726520746865206e656365737361727920646570656e64656e63
E:Users\John\Documents,File217,none_202020_weird.yar,202020202020202020202020202020202020202020204555524f5045414e20554e494f4e205055424c4943204c4943454e43
E:Users\John\Documents,File192,none_headerless_execs.yar,90000300000004000000ffff0000b80000000000000040000000000000000000000000000000000000000000000000000000
E:Users\John\Documents,File202,none_headerless_execs.yar,42000200000020000000ffff05000001000000000000400000000100fb716a72000000000000000000000000000000000000
E:Users\John\Documents,File018,none_pdf.yar,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
E:Users\John\Documents,File022,none_pdf.yar,255044462d312e370a25f6e4fcdf0a312030206f626a0a3c3c0a2f50616765732032203020520a2f54797065202f43617461
E:Users\John\Documents,File066,none_pdf.yar,255044462d312e370a25e2e3cfd30a362030206f626a0a3c3c2f46696c7465722f466c6174654465636f64652f4c656e6774
E:Users\John\Documents,File084,none_pdf.yar,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742033330a2f
E:Users\John\Documents,File103,none_pdf.yar,255044462d312e340a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f56657273696f6e20
E:Users\John\Documents,File114,none_pdf.yar,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742032300a2f
E:Users\John\Documents,File123,none_pdf.yar,255044462d312e350d0a25b5b5b5b50d0a312030206f626a0d0a3c3c2f547970652f436174616c6f672f5061676573203220
E:Users\John\Documents,File129,none_pdf.yar,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742031390a2f
E:Users\John\Documents,File132,none_pdf.yar,255044462d312e360d25e2e3cfd30d0a3433312030206f626a0d3c3c2f4c696e656172697a656420312f4c20353838313532
E:Users\John\Documents,File135,none_pdf.yar,255044462d312e370d25e2e3cfd30d0a312030206f626a0a3c3c2f4163726f466f726d2035203020522f4c616e6728656e29
E:Users\John\Documents,File138,none_pdf.yar,255044462d312e370a25e2e3cfd30a312030206f626a0a3c3c2f436f6c6f7253706163652f446576696365477261792f5375
E:Users\John\Documents,File156,none_pdf.yar,255044462d312e370a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220
E:Users\John\Documents,File182,none_pdf.yar,255044462d312e340d25e2e3cfd30d0a313231332030206f626a0d3c3c2f4c696e656172697a656420312f4c203439303836
E:Users\John\Documents,File199,none_pdf.yar,255044462d312e370d0a25b5b5b5b50d0a312030206f626a0d0a3c3c2f547970652f436174616c6f672f5061676573203220
E:Users\John\Documents,File209,none_pdf.yar,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742031340a2f
E:Users\John\Documents,File008,none_png.yar,89504e470d0a1a0a0000000d4c454e5a00000388000004ec0806000000c272ac0c0001000049444154789cecfd799c6dd975
E:Users\John\Documents,File009,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd5993243992
E:Users\John\Documents,File019,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd79b025d779
